id,arena_id,sport,date,start_time,end_time,duration_minutes,normal_price,period,status,created_at
1,1,Football,2026-03-01,08:00:00,09:00:00,60,800.0,NON_PEAK,BOOKED,2026-03-01 00:00:00+05:30
2,1,Football,2026-03-01,09:00:00,10:00:00,60,800.0,NON_PEAK,AVAILABLE,2026-03-01 00:00:00+05:30
3,1,Football,2026-03-01,10:00:00,11:00:00,60,800.0,NON_PEAK,AVAILABLE,2026-03-01 00:00:00+05:30
4,1,Football,2026-03-01,11:00:00,12:00:00,60,800.0,NON_PEAK,BOOKED,2026-03-01 00:00:00+05:30
5,1,Football,2026-03-01,12:00:00,13:00:00,60,800.0,NON_PEAK,BOOKED,2026-03-01 00:00:00+05:30
6,1,Football,2026-03-01,13:00:00,14:00:00,60,800.0,NON_PEAK,AVAILABLE,2026-03-01 00:00:00+05:30
7,1,Football,2026-03-01,14:00:00,15:00:00,60,800.0,NON_PEAK,BOOKED,2026-03-01 00:00:00+05:30
8,1,Football,2026-03-01,15:00:00,16:00:00,60,800.0,NON_PEAK,AVAILABLE,2026-03-01 00:00:00+05:30
9,1,Football,2026-03-01,16:00:00,17:00:00,60,800.0,NON_PEAK,AVAILABLE,2026-03-01 00:00:00+05:30
10,1,Football,2026-03-01,17:00:00,18:00:00,60,1200.0,PEAK,BOOKED,2026-03-01 00:00:00+05:30
11,1,Football,2026-03-01,18:00:00,19:00:00,60,1200.0,PEAK,BOOKED,2026-03-01 00:00:00+05:30
12,1,Football,2026-03-01,19:00:00,20:00:00,60,1200.0,PEAK,BOOKED,2026-03-01 00:00:00+05:30
13,1,Football,2026-03-01,20:00:00,21:00:00,60,1200.0,PEAK,BOOKED,2026-03-01 00:00:00+05:30
14,1,Football,2026-03-01,21:00:00,22:00:00,60,1200.0,PEAK,BOOKED,2026-03-01 00:00:00+05:30
15,1,Cricket,2026-03-01,08:00:00,09:00:00,60,1000.0,NON_PEAK,AVAILABLE,2026-03-01 00:00:00+05:30
16,1,Cricket,2026-03-01,09:00:00,10:00:00,60,1000.0,NON_PEAK,AVAILABLE,2026-03-01 00:00:00+05:30
